AGRUPAMENTOS DE INTERCÂMBIO
 #AG A   B   COEF
 XXX XXX XXX XX.XXXX
   1  11   3  1.0000
   1   1   3  1.0000
   2   3  11  1.0000
   2   3   1  1.0000
   4  11   1  1.0000
   4   3   1  1.0000
   4   4   1  1.0000
   5  11   1  1.0000
   5   4   1  1.0000
   6  11   1  1.0000
   6   4   1  1.0000
   6   1   3  1.0000
   7  11   1  1.0000
   7  11   3  1.0000
   8   1  11  1.0000
   8   1   4  1.0000
  12   4   1  1.0000
  12  11   1  1.0000
 999
LIMITES POR GRUPO
  #AG MI ANOI MF ANOF LIM_P1  LIM_P2  LIM_P3  LIM_P4
 XXX  XX XXXX XX XXXX XXXXXX. XXXXXX. XXXXXX. XXXXXX.
   1  11 2031 11 2031  11500.  11500.  11500.  11500.
   1  12 2031 12 2031  11500.  11500.  11500.  11500.
   1   1 2032  1 2032  11500.  11500.  11500.  11500.
   1   2 2032  2 2032  11500.  11500.  11500.  11500.
   1   3 2032  3 2032  11500.  11500.  11500.  11500.
   1   4 2032  4 2032  11500.  11500.  11500.  11500.
   1   5 2032  5 2032  11500.  11500.  11500.  11500.
   1   6 2032  6 2032  11500.  11500.  11500.  11500.
   1   7 2032  7 2032  11500.  11500.  11500.  11500.
   1   8 2032  8 2032  11500.  11500.  11500.  11500.
   1   9 2032  9 2032  11500.  11500.  11500.  11500.
   1  10 2032 10 2032  11500.  11500.  11500.  11500.
   1  11 2032 11 2032  11500.  11500.  11500.  11500.
   1  12 2032 12 2032  11500.  11500.  11500.  11500.
   1   1 2033  1 2033  11500.  11500.  11500.  11500.
   1   2 2033  2 2033  11500.  11500.  11500.  11500.
   1   3 2033  3 2033  11500.  11500.  11500.  11500.
   1   4 2033  4 2033  11500.  11500.  11500.  11500.
   1   5 2033  5 2033  11500.  11500.  11500.  11500.
   1   6 2033  6 2033  11500.  11500.  11500.  11500.
   1   7 2033  7 2033  11500.  11500.  11500.  11500.
   1   8 2033  8 2033  11500.  11500.  11500.  11500.
   1   9 2033  9 2033  11500.  11500.  11500.  11500.
   1  10 2033 10 2033  11500.  11500.  11500.  11500.
   1  11 2033 11 2033  11500.  11500.  11500.  11500.
   1  12 2033 12 2033  11500.  11500.  11500.  11500.
   1   1 2034  1 2034  11500.  11500.  11500.  11500.
   1   2 2034  2 2034  11500.  11500.  11500.  11500.
   1   3 2034  3 2034  11500.  11500.  11500.  11500.
   1   4 2034  4 2034  11500.  11500.  11500.  11500.
   1   5 2034  5 2034  11500.  11500.  11500.  11500.
   1   6 2034  6 2034  11500.  11500.  11500.  11500.
   1   7 2034  7 2034  11500.  11500.  11500.  11500.
   1   8 2034  8 2034  11500.  11500.  11500.  11500.
   1   9 2034  9 2034  11500.  11500.  11500.  11500.
   1  10 2034 10 2034  11500.  11500.  11500.  11500.
   1  11 2034 11 2034  11500.  11500.  11500.  11500.
   1  12 2034 12 2034  11500.  11500.  11500.  11500.
   1   1 2035  1 2035  11500.  11500.  11500.  11500.
   1   2 2035  2 2035  11500.  11500.  11500.  11500.
   1   3 2035  3 2035  11500.  11500.  11500.  11500.
   1   4 2035  4 2035  11500.  11500.  11500.  11500.
   1   5 2035  5 2035  11500.  11500.  11500.  11500.
   1   6 2035  6 2035  11500.  11500.  11500.  11500.
   1   7 2035  7 2035  11500.  11500.  11500.  11500.
   1   8 2035  8 2035  11500.  11500.  11500.  11500.
   1   9 2035  9 2035  11500.  11500.  11500.  11500.
   1  10 2035 10 2035  11500.  11500.  11500.  11500.
   1  11 2035 11 2035  11500.  11500.  11500.  11500.
   1  12 2035 12 2035  11500.  11500.  11500.  11500.
   1   1 2036  1 2036  12312.  12312.  12312.  12312.
   1   2 2036  2 2036  12312.  12312.  12312.  12312.
   1   3 2036  3 2036  12312.  12312.  12312.  12312.
   1   4 2036  4 2036  12312.  12312.  12312.  12312.
   1   5 2036  5 2036  12312.  12312.  12312.  12312.
   1   6 2036  6 2036  12312.  12312.  12312.  12312.
   1   7 2036  7 2036  12312.  12312.  12312.  12312.
   1   8 2036  8 2036  12312.  12312.  12312.  12312.
   1   9 2036  9 2036  12312.  12312.  12312.  12312.
   1  10 2036 10 2036  12312.  12312.  12312.  12312.
   1  11 2036 11 2036  12312.  12312.  12312.  12312.
   1  12 2036 12 2036  12312.  12312.  12312.  12312.
   2   1 2021  1 2021   6000.   6000.   6000.   6000.
   2   2 2021  2 2021   6000.   6000.   6000.   6000.
   2   3 2021  3 2021   6000.   6000.   6000.   6000.
   2   4 2021  4 2021   6000.   6000.   6000.   6000.
   2   5 2021  5 2021   6000.   6000.   6000.   6000.
   2   6 2021  6 2021   7500.   7500.   7500.   7500.
   2   7 2021  7 2021   7500.   7500.   7500.   7500.
   2   8 2021  8 2021   8500.   8500.   8500.   8500.
   2   9 2021  9 2021   8500.   8500.   8500.   8500.
   2  10 2021 10 2021   8500.   8500.   8500.   8500.
